指标名称,中债-中国绿色债券指数,期货结算价(连续):INE原油,中国:碳市场碳排放配额(CEA):最新价,中国:碳市场碳排放配额(CEA):成交量,中国液化天然气出厂价格指数,期货结算价(连续):焦炭,期货结算价(连续):焦煤
2012/6/21,112.8099,,,,,1660,
2012/6/25,112.8214,,,,,1660,
2012/6/26,112.8004,,,,,1660,
2012/6/27,112.8309,,,,,1600,
2012/6/28,112.8818,,,,,1584,
2012/6/29,112.9124,,,,,1584,
2012/7/2,112.9588,,,,,1584,
2012/7/3,112.9852,,,,,1584,
2012/7/4,113.0338,,,,,1584,
2012/7/5,113.0719,,,,,1584,
2012/7/6,113.2554,,,,,1584,
2012/7/9,113.3595,,,,,1670,
2012/7/10,113.3695,,,,,1670,
2012/7/11,113.4127,,,,,1670,
2012/7/12,113.4807,,,,,1670,
2012/7/13,113.4939,,,,,1670,
2012/7/16,113.5345,,,,,1642,
2012/7/17,113.4988,,,,,1642,
2012/7/18,113.5005,,,,,1642,
2012/7/19,113.5166,,,,,1642,
2012/7/20,113.5084,,,,,1642,
2012/7/23,113.556,,,,,1642,
2012/7/24,113.5337,,,,,1642,
2012/7/25,113.5041,,,,,1642,
2012/7/26,113.4677,,,,,1642,
2012/7/27,113.4667,,,,,1642,
2012/7/30,113.4688,,,,,1642,
2012/7/31,113.3758,,,,,1642,
2012/8/1,113.2985,,,,,1642,
2012/8/2,113.2476,,,,,1642,
2012/8/3,113.2197,,,,,1642,
2012/8/6,113.1724,,,,,1642,
2012/8/7,113.0827,,,,,1642,
2012/8/8,113.021,,,,,1642,
2012/8/9,113.0021,,,,,1642,
2012/8/10,112.8936,,,,,1642,
2012/8/13,112.982,,,,,1642,
2012/8/14,112.976,,,,,1642,
2012/8/15,112.9938,,,,,1608,
2012/8/16,112.9896,,,,,1618,
2012/8/17,112.9796,,,,,1626,
2012/8/20,112.8853,,,,,1628,
2012/8/21,112.8301,,,,,1617,
2012/8/22,112.7111,,,,,1600,
2012/8/23,112.6884,,,,,1585,
2012/8/24,112.6775,,,,,1569,
