,新能源指数,新能源指数,绿色债券指数,碳价,INE原油,天然气价格,焦炭价格
2021-10-27,5017.4695,0.024740477006373496,2.245083408070059e-06,-0.03246959225424684,-0.008946476346698873,0.013254665654352848,-0.007971056697732237
2021-10-28,4953.0467,-0.012922840754651332,0.00042647441547405407,0.0,-0.023994959257540138,0.015593488683306234,-0.05893603978591955
2021-10-29,5066.4622,0.02263990091590351,0.0003662860903563825,0.0,0.012262927394610657,0.015216782755270941,0.05711554046644984
2021-10-30,5066.4622,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-31,5066.4622,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01,5015.7657,-0.010056691393334205,0.00036390949092357516,0.0,0.007900609551373172,0.0701088511492447,0.001820499319469704
2021-11-02,4984.5553,-0.006241899901636927,0.0009021933434976148,0.029341958284015313,0.019576791703530994,0.007396106145705517,0.04458355411896875
2021-11-03,4859.2609,-0.025457843653654777,0.000490541133814304,0.0,-0.008505863587772389,-0.00944607483284976,-0.0027871345414283155
2021-11-04,4960.2792,0.020575681317133387,0.0003352886270331368,-0.008469500113573503,-0.025376217493374043,-0.01459879942115272,-0.02974372456015928
2021-11-05,4862.3989,-0.019930112520540888,0.0014629827767302928,0.008469500113573503,0.004662013105811269,-0.013363227812167366,0.03577272832963807
2021-11-06,4862.3989,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-07,4862.3989,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-08,5018.5123,0.03160161824563268,0.00038161168541250845,-0.0024125464053836865,0.011943890783466138,-0.04009685522878037,-0.032901569520317864
2021-11-09,5052.678,0.006784864558923687,5.530205677573008e-05,0.0012070007500351032,0.007820736094704017,-0.00564467665217272,-0.040966352488442936
2021-11-10,4968.9449,-0.01671087595073928,6.814580299874251e-05,0.0024096397201534003,0.008325497474116261,-0.0019347711950299384,0.020327155080730464
2021-11-11,4966.0909,-0.0005745324196038126,-0.0002273569650990126,-0.025595547188963952,-0.007565763344505427,0.010595214354930604,0.0
2021-11-12,4997.6445,0.00633371004278338,0.00013798447165935812,0.03350641188984271,-0.01723520258148792,0.01602206711080889,0.010915814876996777
2021-11-13,4997.6445,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-14,4997.6445,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-15,4812.052,-0.037843097060047626,0.0004283567780349884,0.0,-0.008535454341598303,0.00938470488759613,-0.21279320015617031
2021-11-16,4729.3196,-0.01734225999495287,0.00011613292990197976,0.002861232281032411,-0.004882345407873245,-0.0036093883179297848,-0.036782261940697225
